generated_index,neighbor_rank,real_image_path,distance
0,1,E:\celeba-generative-comparison\data\processed\celeba_64\train\003411.jpg,3.728181838989258
0,2,E:\celeba-generative-comparison\data\processed\celeba_64\train\003738.jpg,3.759347438812256
0,3,E:\celeba-generative-comparison\data\processed\celeba_64\train\004222.jpg,3.8774149417877197
1,1,E:\celeba-generative-comparison\data\processed\celeba_64\train\004747.jpg,2.9957826137542725
1,2,E:\celeba-generative-comparison\data\processed\celeba_64\train\002052.jpg,3.251882314682007
1,3,E:\celeba-generative-comparison\data\processed\celeba_64\train\002543.jpg,3.2613449096679688
2,1,E:\celeba-generative-comparison\data\processed\celeba_64\train\002432.jpg,3.701603889465332
2,2,E:\celeba-generative-comparison\data\processed\celeba_64\train\003449.jpg,3.92179799079895
2,3,E:\celeba-generative-comparison\data\processed\celeba_64\train\000727.jpg,3.9736928939819336
3,1,E:\celeba-generative-comparison\data\processed\celeba_64\train\002052.jpg,3.0072708129882812
3,2,E:\celeba-generative-comparison\data\processed\celeba_64\train\003954.jpg,3.063059091567993
3,3,E:\celeba-generative-comparison\data\processed\celeba_64\train\002683.jpg,3.0998952388763428
4,1,E:\celeba-generative-comparison\data\processed\celeba_64\train\001770.jpg,3.304725170135498
4,2,E:\celeba-generative-comparison\data\processed\celeba_64\train\000108.jpg,3.528137445449829
4,3,E:\celeba-generative-comparison\data\processed\celeba_64\train\000970.jpg,3.5859506130218506
5,1,E:\celeba-generative-comparison\data\processed\celeba_64\train\004846.jpg,3.6575675010681152
5,2,E:\celeba-generative-comparison\data\processed\celeba_64\train\000709.jpg,3.69498348236084
5,3,E:\celeba-generative-comparison\data\processed\celeba_64\train\003509.jpg,3.765550374984741
6,1,E:\celeba-generative-comparison\data\processed\celeba_64\train\004039.jpg,3.409557580947876
6,2,E:\celeba-generative-comparison\data\processed\celeba_64\train\001719.jpg,3.466224431991577
6,3,E:\celeba-generative-comparison\data\processed\celeba_64\train\004655.jpg,3.559340476989746
7,1,E:\celeba-generative-comparison\data\processed\celeba_64\train\004316.jpg,5.002481460571289
7,2,E:\celeba-generative-comparison\data\processed\celeba_64\train\004144.jpg,5.158348560333252
7,3,E:\celeba-generative-comparison\data\processed\celeba_64\train\001727.jpg,5.2197723388671875
